Species,Sex,Compound,TracerElements,Fasting,Unusual,Ra_nmol_min_g,Ra_nmol_min
Mouse,M,serine,C,T,,16.4,
Mouse,M,glycine,C,T,,20.3,
Mouse,M,serine,C,T,serine/glycine-free diet,18.4,
Mouse,M,glycine,C,T,serine/glycine-free diet,15.5,
Mouse,M,valine,H,T,,10.8,
Mouse,M,phenylalanine,H,T,,7.3,
Mouse,M,valine,H,T,serine/glycine-free diet,11.3,
Mouse,M,phenylalanine,H,T,serine/glycine-free diet,6.6,
Mouse,M,serine,C,F,,21.9,
Mouse,M,glycine,C,F,,21.8,
Mouse,M,serine,C,F,serine/glycine-free diet,15.6,
Mouse,M,glycine,C,F,serine/glycine-free diet,16.9,
,,,,,,,
